,FRA00101,FRA00102,FRA00201,FRA00301,FRA00302,FRA00401,FRA00501,FRA00502,FRA00503,FRA00601,FRA00602,FRA00701,FRA00801,FRA00901,FRA00903,FRA01001,FRA01101,FRA01102,FRA01201,FRA01202,FRA01203,FRA01301,FRA01302,FRA01303,FRA01401,FRA01402,FRA01403,FRA01501,FRA01601,FRA01602,FRA01603,FRA01701,FRA01702,FRA01801,FRA01901,FRA01902,FRA02001,FRA02101,FRA02201,FRA02202,FRA02203,FRA02301,FRA02302,FRA02303,FRA02401,FRA02402,FRA02501,FRA02502,FRA02601,FRA02602,FRA02603,FRA02701,FRA02702,FRA02801,FRA02802,FRA02901,FRA03001,FRA03002,FRA03003,FRA03101,FRA03102,FRA03201,FRA03202,FRA03301,FRA03302,FRA03401,FRA03601,FRA03701,FRA03702,FRA03703,FRA03801,FRA03802,FRA03901,FRA03902,FRA03903,FRA04001,FRA04002,FRA04101,FRA04102,FRA04201,FRA04202
0,0,1,1,2,3,0,8,26,22,0,0,0,0,17,4,0,0,0,2,1,4,23,29,22,1,1,0,1,0,0,0,5,3,0,1,2,0,0,0,0,0,1,1,1,0,0,1,8,3,8,1,3,11,3,0,1,4,0,2,0,6,0,1,2,1,0,7,0,0,3,0,0,0,0,0,6,3,2,0,6,7
1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1842,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1847,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
